site,temp,id,avg.summer.t,x.coord,y.coord,Jun 22,Jul 10,Jul 27,survival,state
HOS,10,1,17.6,-124.2102174902,40.6706418681,4.2,5.2,,1,CA
HOS,10,2,17.6,-124.2102174902,40.6706418681,4.5,12.1,13.1,1,CA
HOS,10,3,17.6,-124.2102174902,40.6706418681,3.5,6.4,8.8,1,CA
HOS,10,4,17.6,-124.2102174902,40.6706418681,3,5.7,4.4,1,CA
HOS,10,5,17.6,-124.2102174902,40.6706418681,3.3,6.7,8.3,1,CA
HOS,10,6,17.6,-124.2102174902,40.6706418681,3.5,8.3,8.7,1,CA
HOS,10,7,17.6,-124.2102174902,40.6706418681,4.4,9.7,10.4,1,CA
HOS,10,8,17.6,-124.2102174902,40.6706418681,4.4,9.1,12.4,1,CA
HOS,10,9,17.6,-124.2102174902,40.6706418681,3.6,6.1,,1,CA
HOS,10,10,17.6,-124.2102174902,40.6706418681,3.5,7.7,9.9,1,CA
HOS,15,11,17.6,-124.2102174902,40.6706418681,2.7,13.9,35.4,1,CA
HOS,15,12,17.6,-124.2102174902,40.6706418681,4.3,11.4,15.7,1,CA
HOS,15,13,17.6,-124.2102174902,40.6706418681,2.8,,,0,CA
HOS,15,14,17.6,-124.2102174902,40.6706418681,1.4,4,4.4,1,CA
HOS,15,15,17.6,-124.2102174902,40.6706418681,4.9,8,,1,CA
HOS,15,16,17.6,-124.2102174902,40.6706418681,3.1,14.6,38.3,1,CA
HOS,15,17,17.6,-124.2102174902,40.6706418681,1.4,11.1,6,1,CA
HOS,15,18,17.6,-124.2102174902,40.6706418681,4.6,,,0,CA
HOS,15,19,17.6,-124.2102174902,40.6706418681,5.4,5.3,,1,CA
HOS,15,20,17.6,-124.2102174902,40.6706418681,2.8,15.2,,1,CA
HOS,20,21,17.6,-124.2102174902,40.6706418681,4.2,35,,1,CA
HOS,20,22,17.6,-124.2102174902,40.6706418681,3.4,12.3,,1,CA
HOS,20,23,17.6,-124.2102174902,40.6706418681,4.6,35.8,,1,CA
HOS,20,24,17.6,-124.2102174902,40.6706418681,4.7,32.6,75.2,1,CA
HOS,20,25,17.6,-124.2102174902,40.6706418681,3,18.2,,1,CA
