Temp,Sample,Jun 06,Jun 25,Jul 16,Aug 03,Aug 26,survival,50mg
10,1,0.001,,,,,0,
10,2,0.001,0.002,0.002,0.008,0.011,1,
10,3,0.001,0.003,0.005,0.008,0.023,1,
10,4,0.001,0.003,0.002,0.01,0.015,1,
10,5,0.001,0.003,0.003,0.011,0.014,1,
10,6,0.001,0.003,0.003,0.008,0.011,1,
10,7,0.001,0.002,0.003,0.007,0.008,1,
10,8,0.001,0.003,0.003,0.011,0.011,1,
10,9,0.001,,,,,0,
10,10,0.001,0.002,0.003,0.01,0.01,1,
10,11,0.001,,,,,0,
10,12,0.001,,,,,0,
10,13,0.001,0.003,0.003,0.006,0.01,1,
10,14,0.001,0.003,0.004,0.01,0.014,1,
10,15,0.001,0.003,0.002,0.01,0.013,1,
10,16,0.001,0.003,0.003,0.01,0.013,1,
10,17,0.001,0.002,0.002,0.009,0.011,1,
10,18,0.001,0.003,0.004,0.015,0.015,1,
10,19,0.001,,,,,0,
10,20,0.001,,,,,0,
10,21,0.001,,,,,0,
10,22,0.001,,,,,0,
10,23,0.001,0.003,0.004,0.012,0.016,1,
10,24,0.001,,,,,0,
10,25,0.001,,,,,0,
10,26,0.001,0.002,,,,0,
10,27,0.001,0.003,0.003,0.011,0.011,1,
10,28,0.001,0.003,0.003,0.007,0.008,1,
10,29,0.001,0.002,,,,0,
10,30,0.001,0.004,0.003,0.013,0.012,1,
10,31,0.001,0.002,0.003,0.005,0.009,1,
10,32,0.001,0.002,0.002,0.005,0.009,1,
10,33,0.001,0.003,0.002,0.011,,0,
10,34,0.001,0.003,0.002,0.008,0.008,1,
10,35,0.001,0.002,,,,0,
10,36,0.001,0.003,0.002,0.01,0.012,1,
10,37,0.001,,,,,0,
10,38,0.001,,,,,0,
10,39,0.001,,,,,0,
10,40,0.001,0.003,,,,0,
10,41,0.001,0.003,0.004,0.011,0.011,1,
10,42,0.001,,,,,0,
10,43,0.001,,,,,0,
10,44,0.001,,,,,0,
10,45,0.001,,,,,0,
10,46,0.001,,,,,0,
10,47,0.001,0.003,0.003,0.007,0.01,1,
10,48,0.001,0.003,0.003,0.008,0.009,1,
10,49,0.001,,,,,0,
10,50,0.001,0.002,0.003,0.008,0.009,1,
10,51,0.001,0.002,0.002,0.007,,0,
10,52,0.001,,,,,0,
15,1,0.001,0.005,0.009,0.032,0.045,1,81
15,2,0.001,,,,,0,
15,3,0.001,0.006,0.007,0.025,0.053,1,81
15,4,0.001,0.009,0.02,0.043,0.081,1,81
15,5,0.001,0.005,0.008,0.03,0.072,1,81
15,6,0.001,0.005,0.012,0.034,0.048,1,81
15,7,0.001,0.005,0.008,0.049,0.063,1,81
15,8,0.001,0.011,0.022,0.056,0.089,1,58
15,9,0.002,0.005,0.011,0.042,0.064,1,81
15,10,0.001,,,,,0,
15,11,0.001,0.007,0.02,0.024,0.04,1,
15,12,0.001,0.005,0.01,0.03,0.036,1,
15,13,0.001,0.005,0.009,0.023,0.055,1,81
15,14,0.001,,,,,0,
15,15,0.001,,,,,0,
15,16,0.001,0.005,0.011,0.03,0.051,1,81
15,17,0.001,0.005,0.01,0.032,0.077,1,81
15,18,0.001,0.005,0.011,0.019,0.047,1,81
15,19,0.001,,0.006,0.032,0.06,1,81
15,20,0.001,0.006,0.015,0.047,0.066,1,81
15,21,0.001,,,,,0,
15,22,0.001,0.01,0.02,0.045,0.072,1,81
15,23,0.001,,,,,0,
15,24,0.001,0.005,,,,0,
15,25,0.001,,,,,0,
15,26,0.001,,,,,0,
15,27,0.001,0.005,0.01,0.026,0.032,1,
15,28,0.001,0.005,0.01,0.017,0.06,1,81
15,29,0.001,0.005,0.009,0.021,0.082,1,81
15,30,0.001,0.01,0.013,0.024,0.082,1,81
15,31,0.001,0.007,0.009,0.025,0.053,1,81
15,32,0.001,,,,,0,
15,33,0.001,0.005,0.007,0.025,0.031,1,
15,34,0.001,,,,,0,
15,35,0.001,0.005,0.01,0.022,0.062,1,81
15,36,0.001,0.005,0.009,0.019,0.059,1,81
15,37,0.001,0.005,0.009,0.049,0.068,1,58
15,38,0.001,0.008,0.015,0.026,0.059,1,81
15,39,0.001,,,,,0,
15,40,0.001,0.004,0.008,0.03,0.04,1,
15,41,0.001,,,,,0,
15,42,0.001,,,,,0,
15,43,0.001,0.004,0.01,0.03,0.05,1,81
15,44,0.001,,,,,0,
15,45,0.001,0.006,0.015,0.024,0.093,1,81
15,46,0.001,,,,,0,
15,47,0.001,0.005,0.014,0.022,0.135,1,81
15,48,0.001,0.004,0.007,0.018,0.046,1,81
15,49,0.001,0.007,,,,0,
15,50,0.001,0.008,0.025,0.048,0.055,1,58
15,51,0.001,0.005,0.012,0.05,0.046,1,81
15,52,0.001,,,,,0,
20,2,0.001,0.009,0.038,0.181,0.448,1,58
20,3,0.001,0.01,0.022,0.097,0.08,1,58
20,4,0.001,,,,,0,
20,5,0.001,0.009,0.042,0.191,0.481,1,58
20,6,0.001,0.012,0.049,0.071,0.054,1,40
20,7,0.001,,,,,0,
20,8,0.001,0.008,0.041,0.154,0.23,1,58
20,9,0.001,0.015,0.039,0.057,0.071,1,58
20,10,0.001,0.012,0.022,0.06,0.077,1,58
20,11,0.001,0.013,0.037,0.104,0.198,1,58
20,12,0.001,0.011,0.058,0.197,0.281,1,40
20,13,0.001,0.009,0.025,0.03,0.052,1,58
20,14,0.001,0.009,0.03,,0.114,1,58
20,15,0.001,0.006,0.039,0.085,0.151,1,58
20,16,0.001,0.01,0.074,0.277,0.373,1,40
20,17,0.001,0.004,0.017,0.06,0.044,1,58
20,18,0.001,0.007,0.042,0.072,0.103,1,58
20,19,0.001,0.009,0.015,0.046,0.05,1,58
20,20,0.001,0.009,0.038,0.038,0.055,1,81
20,21,0.001,0.007,0.026,0.193,0.313,1,58
20,22,0.001,0.007,0.035,0.062,0.063,1,58
20,23,0.001,0.009,0.015,0.046,0.053,1,81
20,24,0.001,,,,,0,
20,25,0.001,0.013,0.033,0.065,0.083,1,58
20,26,0.001,0.01,0.031,0.076,0.113,1,58
20,27,0.001,0.008,0.05,0.18,0.279,1,40
20,28,0.001,,0.035,0.052,0.071,1,58
20,29,0.001,0.008,0.042,0.118,0.196,1,58
20,30,0.002,0.01,0.043,0.079,0.07,1,58
20,31,0.002,0.009,0.023,0.148,,0,58
20,32,0.001,0.004,0.021,0.046,,0,58
20,33,0.001,0.005,0.03,0.106,0.164,1,58
20,34,0.001,,,,,0,
20,35,0.001,,,,,0,
20,36,0.001,0.011,0.054,0.238,0.36,1,40
20,37,0.001,0.002,0.014,0.066,0.057,1,58
20,38,0.001,,,,,0,
20,39,0.001,0.007,0.018,0.055,0.064,1,58
20,40,0.001,0.006,0.023,0.091,0.089,1,58
20,41,0.001,0.01,0.041,0.07,0.068,1,58
20,42,0.001,0.009,,,,0,
20,43,0.001,0.005,,,,0,
20,44,0.001,0.01,0.033,0.066,0.08,1,58
20,45,0.001,0.01,0.023,0.06,0.07,1,58
20,46,0.001,0.015,0.082,0.196,0.207,1,40
20,48,0.001,0.011,0.019,0.05,0.07,1,58
20,49,0.001,0.013,0.043,0.263,0.431,1,58
20,50,0.001,0.008,0.024,0.047,0.058,1,58
20,51,0.001,0.01,0.043,0.237,0.381,1,58
20,52,0.001,,,,,0,
25,1,0.001,0.01,0.118,0.429,0.545,1,40
25,2,0.002,0.007,0.08,0.237,0.395,1,40
25,3,0.002,0.005,0.05,0.497,,0,40
25,4,0.001,0.004,0.075,0.303,0.353,1,40
25,5,0.001,0.006,0.054,,,0,40
25,6,0.002,0.007,0.081,0.306,,0,40
25,7,0.001,,,,,0,
25,8,0.002,0.008,0.086,0.43,0.519,1,40
25,9,0.001,0.012,0.034,0.159,,0,58
